"Unterseriennummer",0,""
"Probennummer",6," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0598926,0.0681518,4.11055e-006,6.19592
0.119893,0.0851898,6.41355e-005,6.19586
0.139893,0.0511139,6.41355e-005,6.19586
0.279893,0.0511139,6.41355e-005,6.19586
0.479893,0.0340759,6.41355e-005,6.19586
0.699893,0.017038,4.11055e-006,6.19592
0.899893,0.017038,4.11055e-006,6.19592
1.11989,0.0340759,4.11055e-006,6.19592
1.33989,0.0681518,0.00750724,6.18842
1.55989,0.102228,0.0294764,6.16645
1.77989,0.187417,0.0513255,6.1446
1.85989,0.238531,0.0594889,6.13644
1.97989,0.289645,0.0714339,6.12449
2.19989,0.442987,0.093463,6.10246
2.39989,0.681518,0.113391,6.08253
2.61989,1.03932,0.135481,6.06044
2.81989,1.49934,0.155409,6.04052
3.03989,1.92529,0.177498,6.01843
3.25989,2.50458,0.199407,5.99652
3.45989,2.93053,0.219456,5.97647
3.67989,3.42463,0.241425,5.9545
3.87989,3.85058,0.261413,5.93451
4.09989,4.29356,0.283562,5.91236
4.31989,4.75359,0.305471,5.89045
4.53989,5.17954,0.327501,5.86842
4.75989,5.57141,0.34947,5.84645
4.95989,6.0144,0.369458,5.82647
5.17989,6.38923,0.391487,5.80444
5.37989,6.74703,0.411415,5.78451
5.59989,7.17298,0.433565,5.76236
5.83989,7.70115,0.457335,5.73859
5.87989,7.75227,0.461476,5.73445
6.05989,8.11007,0.479424,5.7165
6.27989,8.58713,0.501453,5.69447
6.47989,8.89381,0.521441,5.67448
6.69989,9.28568,0.54347,5.65245
6.89989,9.64348,0.563459,5.63247
7.11989,10.1546,0.585428,5.6105
7.31989,10.5635,0.605296,5.59063
7.53989,10.9895,0.627445,5.56848
7.75989,11.3984,0.649475,5.54645
7.87989,11.6199,0.66148,5.53444
7.95989,11.8243,0.669403,5.52652
8.17989,12.2844,0.691552,5.50437
8.37989,12.7103,0.71142,5.4845
8.59989,13.1022,0.73345,5.46247
8.81989,13.5452,0.755479,5.44045
9.03989,13.9882,0.777328,5.4186
9.25989,14.4482,0.799417,5.39651
9.45989,14.8741,0.819525,5.3764
9.67989,15.3682,0.841435,5.35449
9.87989,15.726,0.861483,5.33444
10.0999,16.2031,0.883512,5.31241
10.3199,16.6631,0.905421,5.2905
10.5399,17.1572,0.92739,5.26853
10.7599,17.6172,0.94948,5.24644
10.9599,18.0773,0.969408,5.22652
11.1799,18.5714,0.991437,5.20449
11.3799,18.9973,1.01149,5.18444
11.5999,19.4914,1.03345,5.16247
11.8199,19.9855,1.05542,5.1405
11.8999,20.1559,1.06341,5.13252
12.0399,20.4626,1.07745,5.11847
12.2599,20.9908,1.09936,5.09656
12.4599,21.4167,1.11953,5.07639
12.6799,21.9108,1.1415,5.05443
12.8799,22.4219,1.16143,5.0345
13.0999,22.9331,1.1834,5.01253
13.3199,23.4783,1.20531,4.99062
13.5399,24.0065,1.22746,4.96847
13.7599,24.5176,1.24948,4.94644
13.8999,24.8924,1.26341,4.93251
13.9599,25.0117,1.26935,4.92657
14.1799,25.5399,1.29144,4.90448
14.3799,26.051,1.31155,4.88437
14.5999,26.5962,1.33364,4.86229
14.8199,27.1244,1.35543,4.8405
15.0399,27.7378,1.37734,4.81859
15.2599,28.3,1.39943,4.7965
15.4599,28.8282,1.41954,4.77639
15.6799,29.3564,1.44144,4.75448
15.8799,29.8505,1.46143,4.73449
15.8999,29.8675,1.46347,4.73245
16.0999,30.3787,1.48358,4.71234
16.3199,30.9068,1.50549,4.69043
16.5399,31.5713,1.52746,4.66846
16.7599,32.1165,1.54943,4.6465
16.9599,32.6277,1.56942,4.62651
17.1799,33.241,1.59139,4.60454
17.3799,33.8033,1.61144,4.58449
17.5999,34.3656,1.63346,4.56246
17.8199,34.9789,1.65543,4.54049
17.8999,35.2004,1.66348,4.53245
18.0399,35.5752,1.6774,4.51852
18.2599,36.1886,1.69937,4.49655
18.4599,36.7509,1.71942,4.4765
