"Unterseriennummer",0,""
"Probennummer",3," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0200977,-0.0511139,-5.30582e-005,5.88787
0.0400977,-0.017038,-5.30582e-005,5.88787
0.0800977,-0.0340759,-5.30582e-005,5.88787
0.100098,-0.0340759,-5.30582e-005,5.88787
0.260098,4.86637e-010,-5.30582e-005,5.88787
0.460098,-0.0681518,-0.000113083,5.88793
0.680098,-0.0511139,-0.000113083,5.88793
0.880098,-0.0340759,-0.000113083,5.88793
1.1001,-0.0340759,-0.000113083,5.88793
1.3201,0.017038,0.00432877,5.88349
1.5401,0.17038,0.0263579,5.86146
1.7601,0.477063,0.0483871,5.83943
1.9601,0.851898,0.0682554,5.81956
2.1801,1.36304,0.0903446,5.79747
2.3801,1.82306,0.110333,5.77749
2.6001,2.38531,0.132362,5.75546
2.6801,2.55569,0.140285,5.74753
2.8001,2.81126,0.15229,5.73553
3.0201,3.27129,0.17426,5.71356
3.2401,3.79946,0.196289,5.69153
3.4401,4.27653,0.216277,5.67154
3.6601,4.73655,0.238366,5.64945
3.8601,5.14546,0.258295,5.62952
4.0801,5.67364,0.280324,5.6075
4.3001,6.08255,0.302293,5.58553
4.5201,6.61073,0.324322,5.5635
4.6801,7.0026,0.340349,5.54747
4.7401,7.10483,0.346411,5.54141
4.9601,7.633,0.36832,5.5195
5.1801,8.05895,0.39035,5.49747
5.3801,8.50194,0.410278,5.47754
5.6001,9.01308,0.432307,5.45551
5.8001,9.43903,0.452235,5.43558
6.0201,9.89905,0.474204,5.41361
6.2401,10.4102,0.496294,5.39153
6.4401,10.8532,0.516342,5.37148
6.6601,11.3984,0.538371,5.34945
6.6801,11.4325,0.540412,5.34741
6.8601,11.8243,0.558299,5.32952
7.0801,12.2673,0.580209,5.30761
7.3001,12.7614,0.602238,5.28558
7.5201,13.3066,0.624387,5.26343
7.7401,13.7837,0.646356,5.24146
7.9401,14.2608,0.666344,5.22147
8.1601,14.7889,0.688374,5.19945
8.3601,15.1808,0.708302,5.17952
8.6001,15.726,0.732312,5.15551
8.7001,15.9986,0.742276,5.14554
8.8001,16.2542,0.75224,5.13558
9.0201,16.7994,0.77439,5.11343
9.2401,17.3446,0.796359,5.09146
9.4401,17.8047,0.816347,5.07147
9.6601,18.3499,0.838256,5.04956
9.8601,18.8951,0.858304,5.02951
10.0801,19.3722,0.880274,5.00755
10.3001,20.0026,0.902183,4.98564
10.5201,20.5478,0.924332,4.96349
10.7001,20.9737,0.942339,4.94548
10.7401,21.093,0.946361,4.94146
10.9401,21.5871,0.966229,4.92159
11.1601,22.2005,0.988319,4.8995
11.3601,22.7286,1.00837,4.87945
11.5801,23.2738,1.03034,4.85748
11.8001,23.8872,1.05231,4.83551
12.0201,24.4835,1.07427,4.81354
12.2401,25.131,1.09636,4.79146
12.4401,25.7443,1.11635,4.77147
12.6601,26.3407,1.13838,4.74944
12.7201,26.4599,1.14432,4.7435
12.8601,26.8518,1.15837,4.72945
13.1001,27.6015,1.18232,4.7055
13.3001,28.0956,1.20231,4.68551
13.5201,28.7601,1.22434,4.66348
13.7401,29.4075,1.24631,4.64151
13.9401,29.9698,1.26629,4.62152
14.1601,30.7024,1.28844,4.59938
14.3601,31.2817,1.30837,4.57945
14.5801,31.9973,1.33034,4.55748
14.7401,32.5255,1.34631,4.54151
14.8001,32.6788,1.35231,4.53551
15.0201,33.3603,1.37434,4.51348
15.2401,34.0418,1.39637,4.49145
15.4401,34.7404,1.41636,4.47146
15.6601,35.456,1.43833,4.44949
15.8601,36.0864,1.45837,4.42944
16.0801,36.8701,1.48028,4.40754
16.3001,37.5857,1.50225,4.38557
16.5201,38.2672,1.52434,4.36348
16.7401,39.0169,1.54631,4.34151
16.9401,39.7155,1.5663,4.32152
17.1601,40.5163,1.58839,4.29943
17.3601,41.283,1.60832,4.2795
17.5801,42.0667,1.63035,4.25747
17.8001,42.8334,1.65232,4.2355
18.0201,43.6172,1.67434,4.21347
