"Unterseriennummer",0,""
"Probennummer",2," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0199512,-0.017038,-6.43242e-006,5.8979
0.0799512,-0.017038,-6.43242e-006,5.8979
0.0999512,6.27324e-010,-6.43242e-006,5.8979
0.139951,-0.017038,-6.43242e-006,5.8979
0.359951,-0.0681518,-6.64574e-005,5.89796
0.559951,-0.0511139,-6.64574e-005,5.89796
0.799951,-0.017038,-6.64574e-005,5.89796
0.999951,6.27324e-010,-6.64574e-005,5.89796
1.23995,-0.017038,0.00365509,5.89423
1.43995,0.119266,0.0233433,5.87455
1.65995,0.238531,0.0453124,5.85258
1.87995,0.391873,0.0674617,5.83043
2.07995,0.647442,0.0873299,5.81056
2.29995,1.05635,0.109299,5.78859
2.49995,1.51638,0.129467,5.76842
2.71995,2.01048,0.151317,5.74657
2.73995,2.02752,0.153417,5.74447
2.91995,2.40235,0.171425,5.72646
3.13995,2.79422,0.193394,5.7045
3.36245,3.3224,0.215603,5.68229
3.57995,3.83354,0.237332,5.66056
3.81995,4.32764,0.261342,5.63655
4.01995,4.70247,0.281391,5.6165
4.23995,5.1625,0.30342,5.59447
4.43995,5.55437,0.323408,5.57448
4.65995,6.03144,0.345437,5.55245
4.75995,6.20181,0.355342,5.54255
4.87995,6.47442,0.367227,5.53066
5.07995,6.91741,0.387335,5.51056
5.29995,7.37743,0.409364,5.48853
5.49995,7.78634,0.429412,5.46848
5.73995,8.31452,0.453362,5.44453
5.93995,8.74047,0.473411,5.42448
6.15995,9.20049,0.49538,5.40251
6.37995,9.6094,0.517349,5.38054
6.57995,10.0694,0.537337,5.36055
6.75995,10.4613,0.555405,5.34248
6.79995,10.5635,0.559427,5.33846
6.99995,11.0065,0.579355,5.31854
7.21995,11.4665,0.601384,5.29651
7.41995,11.9436,0.621372,5.27652
7.63995,12.4207,0.643342,5.25455
7.85995,12.9659,0.665311,5.23258
8.05995,13.3407,0.685359,5.21253
8.27995,13.8519,0.707328,5.19056
8.47995,14.2948,0.727377,5.17051
8.69995,14.806,0.749346,5.14854
8.75995,14.9252,0.755468,5.14242
8.91995,15.3682,0.771435,5.12646
9.13995,15.8964,0.793344,5.10455
9.35995,16.4246,0.815433,5.08246
9.55995,16.7994,0.835241,5.06265
9.79995,17.4128,0.859432,5.03846
9.99995,17.8899,0.87936,5.01853
10.22,18.384,0.901329,4.99656
10.42,18.9292,0.921377,4.97651
10.64,19.4573,0.943346,4.95454
10.78,19.8151,0.957452,4.94044
10.88,20.0707,0.967296,4.93059
11.08,20.5989,0.987345,4.91055
11.3,21.1782,1.00937,4.88852
11.5,21.6552,1.02936,4.86853
11.72,22.2345,1.05133,4.84656
11.92,22.7968,1.07144,4.82645
12.14,23.3761,1.09335,4.80454
12.36,23.9894,1.11538,4.78251
12.56,24.5006,1.13537,4.76252
12.78,25.1651,1.15734,4.74055
12.8,25.1991,1.15938,4.73851
12.98,25.7273,1.17744,4.72045
13.2,26.2896,1.19935,4.69854
13.42,26.937,1.22138,4.67651
13.64,27.5333,1.24335,4.65454
13.86,28.1978,1.26526,4.63263
14.06,28.8112,1.28537,4.61252
14.28,29.4586,1.3074,4.59049
14.48,30.072,1.32739,4.5705
14.7,30.7194,1.34936,4.54853
14.84,31.1624,1.3634,4.53449
14.92,31.4521,1.37132,4.52657
15.14,32.0995,1.39335,4.50454
15.36,32.7981,1.41538,4.48251
15.56,33.3603,1.43537,4.46252
15.78,33.9907,1.4574,4.44049
15.98,34.6722,1.47739,4.4205
16.2,35.4049,1.4993,4.39859
16.42,36.1716,1.52139,4.3765
16.64,36.8531,1.54336,4.35453
16.84,37.5176,1.5634,4.33449
16.88,37.6368,1.56737,4.33052
17.08,38.3184,1.58735,4.31054
17.3,39.1021,1.60944,4.28845
17.5,39.7325,1.62943,4.26846
17.72,40.4651,1.65134,4.24655
17.92,41.2318,1.67145,4.22644
18.14,41.9815,1.69342,4.20447
18.36,42.7141,1.71539,4.1825
