"Unterseriennummer",0,""
"Probennummer",1," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0200049,-0.0170379,-8.62422e-006,5.99388
0.0800049,-0.0170379,-8.62422e-006,5.99388
0.100005,-0.0340759,-8.62422e-006,5.99388
0.300005,-0.0851898,-8.62422e-006,5.99388
0.500005,-0.0681518,-6.86492e-005,5.99394
0.722505,-0.119266,-6.86492e-005,5.99394
0.940005,-0.102228,-6.86492e-005,5.99394
1.14,-0.0340759,-6.86492e-005,5.99394
1.34,0.0681518,0.0153578,5.97851
1.54,0.0681518,0.0353461,5.95852
1.58,0.102228,0.0394278,5.95444
1.74,0.136304,0.0553945,5.93847
1.96,0.374835,0.0773636,5.9165
2.16,0.630404,0.0972919,5.89658
2.36,0.885974,0.1174,5.87647
2.56,1.24377,0.137389,5.85648
2.76,1.55045,0.157377,5.83649
2.98,1.94233,0.179286,5.81458
3.2,2.35124,0.201375,5.79249
3.4,2.65792,0.221424,5.77244
3.6,3.08387,0.241352,5.75252
3.8,3.40759,0.2614,5.73247
4,3.76539,0.281269,5.7126
4.22001,4.12318,0.303418,5.69045
4.44,4.48098,0.325327,5.66854
4.64001,4.82174,0.345315,5.64855
4.84,5.1625,0.365364,5.6285
5.04,5.58845,0.385292,5.60858
5.24001,5.91217,0.4054,5.58847
5.46,6.287,0.427369,5.5665
5.62,6.55961,0.443336,5.55053
5.66001,6.62776,0.447358,5.54651
5.86,6.95148,0.467286,5.52658
6.06,7.32632,0.487334,5.50653
6.26,7.66708,0.507383,5.48648
6.48,8.11007,0.529472,5.4644
6.70001,8.4849,0.551381,5.44249
6.9,8.85974,0.571369,5.4225
7.1,9.25161,0.591478,5.40239
7.3,9.62644,0.611286,5.38258
7.5,10.0013,0.631334,5.36253
7.62,10.2398,0.643339,5.35053
7.72001,10.4102,0.653364,5.3405
7.94,10.8191,0.675393,5.31847
8.14001,11.1939,0.695381,5.29849
8.34,11.6199,0.715429,5.27844
8.54,11.9947,0.735358,5.25851
8.74,12.3866,0.755346,5.23852
8.96,12.8125,0.777375,5.21649
9.16,13.2726,0.797423,5.19644
9.36,13.6644,0.817352,5.17652
9.56001,14.0733,0.8374,5.15647
9.62,14.2267,0.843403,5.15047
9.76,14.4823,0.857208,5.13666
9.98001,14.9934,0.879298,5.11457
10.2,15.4364,0.901387,5.09248
10.4,15.8964,0.921315,5.07255
10.6,16.3053,0.941423,5.05244
10.8,16.7483,0.961412,5.03246
11,17.1572,0.98128,5.01259
11.24,17.6513,1.00529,4.98858
11.46,18.2136,1.02732,4.96655
11.64,18.5884,1.04533,4.94854
11.66,18.6395,1.04737,4.9465
11.86,19.1166,1.0673,4.92657
12.06,19.5936,1.08734,4.90652
12.26,20.0877,1.10745,4.88642
12.48,20.65,1.12948,4.86439
12.7,21.1441,1.15133,4.84254
12.9,21.6212,1.17144,4.82243
13.1,22.1153,1.19131,4.80256
13.3,22.6264,1.21142,4.78245
13.5,23.0694,1.23128,4.76258
13.64,23.5124,1.24533,4.74854
13.72,23.6998,1.25337,4.74049
13.94,24.262,1.27534,4.71853
14.16,24.8243,1.29743,4.69644
14.36,25.3014,1.3173,4.67657
14.56,25.8977,1.33729,4.65658
14.76,26.4429,1.35734,4.63653
14.98,27.0563,1.37925,4.61462
15.22,27.7378,1.40344,4.59043
15.44,28.4023,1.42547,4.5684
15.64,28.9134,1.44539,4.54847
15.84,29.4927,1.4655,4.52837
16.04,30.089,1.48543,4.50844
16.24,30.7024,1.50536,4.48851
16.46,31.3328,1.52733,4.46654
16.66,31.895,1.54738,4.44649
16.86,32.5425,1.56724,4.42662
17.06,33.1218,1.58741,4.40646
17.26,33.8544,1.60728,4.38659
17.48,34.5019,1.62937,4.3645
17.66,35.0811,1.64738,4.34649
17.7,35.1493,1.6514,4.34247
17.92,35.8649,1.67331,4.32056
18.12,36.5464,1.69336,4.30051
18.32,37.2109,1.71341,4.28046
18.52,37.9094,1.73339,4.26047
