"Unterseriennummer",0,""
"Probennummer",15," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0197852,-0.0511139,-4.10781e-006,6.01591
0.0797852,-0.0511139,-4.10781e-006,6.01591
0.0997852,-0.0340759,-4.10781e-006,6.01591
0.139785,-0.0340759,-6.41328e-005,6.01597
0.359785,-0.0851898,-6.41328e-005,6.01597
0.579785,-0.0340759,-6.41328e-005,6.01597
0.799785,-0.0851898,-6.41328e-005,6.01597
1.01979,-0.0681518,-6.41328e-005,6.01597
1.21979,3.66975e-009,0.00107634,6.01483
1.43979,0.0340759,0.0223252,5.99358
1.65979,0.0511139,0.0444744,5.97143
1.87979,0.17038,0.0663835,5.94952
2.05979,0.238531,0.084391,5.93151
2.09979,0.204455,0.0883527,5.92755
2.29979,0.272607,0.108341,5.90756
2.51979,0.340759,0.13037,5.88553
2.71979,0.477063,0.150479,5.86542
2.93979,0.562252,0.172448,5.84345
3.15979,0.74967,0.194357,5.82154
3.37979,0.988201,0.216386,5.79952
3.59979,1.14154,0.238415,5.77749
3.79979,1.27785,0.258464,5.75744
4.01978,1.51638,0.280373,5.73553
4.05979,1.55045,0.284514,5.73139
4.21979,1.72083,0.300301,5.7156
4.43979,1.95936,0.32227,5.69363
4.65979,2.24901,0.344419,5.67148
4.87979,2.58977,0.366388,5.64951
5.09979,2.89645,0.388358,5.62754
5.29979,3.22017,0.408346,5.60756
5.51978,3.59501,0.430315,5.58559
5.71979,3.86762,0.450363,5.56554
5.93979,4.22541,0.472333,5.54357
6.07979,4.44691,0.486378,5.52952
6.15979,4.58321,0.494362,5.52154
6.37979,4.95804,0.516391,5.49951
6.59979,5.24769,0.53824,5.47766
6.79979,5.57141,0.558348,5.45755
7.03979,5.94625,0.582298,5.4336
7.25979,6.35516,0.604328,5.41157
7.47978,6.76407,0.626357,5.38954
7.67979,7.12186,0.646405,5.3695
7.89979,7.42855,0.668434,5.34747
8.09978,7.73523,0.688303,5.3276
8.11979,7.78634,0.690283,5.32562
8.33979,8.21229,0.712373,5.30353
8.55978,8.57009,0.734402,5.2815
8.75978,8.8427,0.75445,5.26145
8.97978,9.21753,0.776359,5.23954
9.17978,9.54125,0.796348,5.21955
9.39979,9.93313,0.818437,5.19746
9.61979,10.2909,0.840406,5.1755
9.83979,10.6487,0.862375,5.15353
10.0598,11.0747,0.884404,5.1315
10.0998,11.1258,0.888366,5.12754
10.2598,11.3814,0.904393,5.11151
10.4798,11.7391,0.926362,5.08954
10.6798,12.0799,0.94641,5.06949
10.8998,12.4888,0.968319,5.04758
11.1398,12.8296,0.992329,5.02357
11.3398,13.2896,1.01238,5.00352
11.5598,13.6304,1.03429,4.98161
11.7598,13.9711,1.05446,4.96145
11.9798,14.4141,1.07642,4.93948
12.0998,14.6526,1.08837,4.92753
12.1798,14.7889,1.09623,4.91967
12.3998,15.1979,1.11838,4.89752
12.6198,15.6408,1.14029,4.87561
12.8398,15.9986,1.16232,4.85358
13.0598,16.3905,1.18429,4.83161
13.2598,16.7653,1.20434,4.81156
13.4798,17.1743,1.22631,4.78959
13.6798,17.5321,1.24635,4.76955
13.8998,17.9239,1.26844,4.74746
14.0998,18.2988,1.28843,4.72747
14.1198,18.3328,1.29035,4.72555
14.3398,18.6906,1.31226,4.70364
14.5598,19.2018,1.33441,4.68149
14.7598,19.5255,1.35434,4.66156
14.9798,20.0026,1.37637,4.63953
15.1798,20.4285,1.39636,4.61954
15.3998,20.8204,1.41845,4.59745
15.6198,21.2122,1.44042,4.57549
15.8398,21.5019,1.46245,4.55346
16.0598,22.0301,1.48435,4.53155
16.0998,22.0812,1.48844,4.52747
16.2598,22.4219,1.50434,4.51156
16.4798,22.882,1.52643,4.48947
16.6798,23.2398,1.54636,4.46954
16.8998,23.6998,1.56845,4.44745
17.1198,24.1257,1.5903,4.4256
17.3398,24.5687,1.61239,4.40351
17.5598,24.9947,1.63436,4.38154
17.7598,25.4206,1.6544,4.3615
17.9798,25.8636,1.67637,4.33953
