"Unterseriennummer",0,""
"Probennummer",13," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0199805,0.017038,-1.10746e-005,6.03181
0.0799805,-0.0340759,-1.10746e-005,6.03181
0.0999805,-0.0340759,-7.10996e-005,6.03187
0.31998,-0.0681518,-0.000131125,6.03193
0.53998,0.017038,-0.000131125,6.03193
0.75998,-0.0340759,-0.000131125,6.03193
0.95998,-0.0511138,-0.000131125,6.03193
1.17998,-0.0340759,-0.000131125,6.03193
1.37998,-0.0170379,0.0131944,6.01861
1.59998,7.0624e-009,0.0353437,5.99646
1.81998,0.0511139,0.0573128,5.97449
2.01998,0.136304,0.0773612,5.95444
2.03998,0.136304,0.079342,5.95246
2.25998,0.238531,0.101311,5.93049
2.45998,0.255569,0.121299,5.9105
2.67998,0.323721,0.143209,5.88859
2.87998,0.442987,0.163137,5.86866
3.09998,0.545214,0.185226,5.84657
3.31998,0.698556,0.207315,5.82449
3.53998,0.817822,0.229344,5.80246
3.75998,1.02228,0.251314,5.78049
3.95998,1.1245,0.271362,5.76044
4.01998,1.14154,0.277364,5.75444
4.17998,1.27785,0.293271,5.73853
4.37998,1.46526,0.313259,5.71854
4.59998,1.68676,0.335229,5.69657
4.81998,1.90825,0.357258,5.67454
5.03998,2.09567,0.379407,5.65239
5.25998,2.36828,0.401316,5.63048
5.45998,2.53865,0.421304,5.6105
5.67998,2.8283,0.443274,5.58853
5.87998,3.04979,0.463202,5.5686
6.03998,3.30536,0.479289,5.55251
6.09998,3.39055,0.485351,5.54645
6.31998,3.69724,0.50732,5.52448
6.53998,3.96984,0.529349,5.50245
6.75998,4.27653,0.551319,5.48048
6.95998,4.5321,0.571307,5.46049
7.17998,4.90693,0.593276,5.43853
7.37998,5.1625,0.613264,5.41854
7.59998,5.45214,0.635354,5.39645
7.81998,5.80994,0.657383,5.37442
8.03998,6.1507,0.679292,5.35251
8.25998,6.35516,0.701261,5.33054
8.45998,6.67888,0.721309,5.31049
8.69998,6.98556,0.745199,5.2866
8.91998,7.29224,0.767289,5.26451
9.13998,7.65004,0.789378,5.24242
9.35998,7.9908,0.811287,5.22051
9.57998,8.31452,0.833316,5.19848
9.79998,8.60417,0.855345,5.17646
9.99998,8.91085,0.875273,5.15653
10.06,8.99604,0.881396,5.15041
10.22,9.20049,0.897243,5.13456
10.42,9.50718,0.917351,5.11445
10.64,9.77978,0.93914,5.09266
10.86,10.1376,0.961349,5.07045
11.08,10.4102,0.983318,5.04848
11.3,10.768,1.00517,5.02663
11.5,11.0747,1.02534,5.00646
11.72,11.3984,1.04725,4.98456
11.92,11.688,1.06729,4.96451
12.08,11.9095,1.08326,4.94854
12.14,12.0288,1.08932,4.94248
12.36,12.2673,1.11123,4.92057
12.58,12.6422,1.13332,4.89848
12.8,12.9318,1.15529,4.87651
13,13.3407,1.17528,4.85652
13.22,13.5452,1.19725,4.83455
13.42,13.903,1.21736,4.81445
13.64,14.2267,1.23933,4.79248
13.88,14.6015,1.26322,4.76859
14.08,14.8741,1.28332,4.74848
14.1,14.9593,1.2853,4.7465
14.32,15.249,1.30727,4.72453
14.54,15.5727,1.32912,4.70268
14.76,15.8964,1.35133,4.68047
14.96,16.2031,1.37132,4.66048
15.18,16.5268,1.39329,4.63851
15.38,16.8335,1.41328,4.61852
15.6,17.1402,1.43531,4.59649
15.84,17.498,1.45932,4.57248
16.04,17.8047,1.47931,4.5525
16.08,17.9069,1.48333,4.54847
16.26,18.1454,1.50127,4.53053
16.46,18.4521,1.52132,4.51048
16.68,18.7588,1.54329,4.48851
16.88,19.0484,1.5634,4.4684
17.1,19.4062,1.58537,4.44643
17.32,19.6618,1.60722,4.42458
17.54,20.0537,1.62937,4.40243
17.76,20.2922,1.65122,4.38058
17.96,20.6159,1.67132,4.36048
18.08,20.7181,1.68333,4.34847
18.18,20.9226,1.69329,4.33851
18.38,21.2122,1.71328,4.31852
18.6,21.5189,1.73525,4.29655
18.82,21.8427,1.75728,4.27452
