"Unterseriennummer",0,""
"Probennummer",5," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0199707,-0.0170379,6.30234e-006,6.09994
0.0799707,-0.0340759,0.000126352,6.09982
0.0999707,-0.0340759,0.000126352,6.09982
0.139971,-0.0340759,0.000126352,6.09982
0.359971,-0.0170379,6.63273e-005,6.09988
0.559971,-0.0511139,6.30234e-006,6.09994
0.779971,-0.0511139,6.30234e-006,6.09994
0.999971,-0.0170379,6.30234e-006,6.09994
1.23997,0.017038,0.00450818,6.09544
1.43997,0.136304,0.0244365,6.07551
1.65997,0.272607,0.0464056,6.05354
1.87997,0.545214,0.0684348,6.03151
2.07997,0.74967,0.0884231,6.01152
2.29997,1.10747,0.110392,5.98955
2.49997,1.43119,0.130501,5.96945
2.71997,1.82306,0.15247,5.94748
2.87997,2.16382,0.168376,5.93157
2.91997,2.21493,0.172398,5.92755
3.15997,2.60681,0.196408,5.90354
3.37997,3.06683,0.218437,5.88151
3.57997,3.49278,0.238366,5.86158
3.79997,3.83354,0.260515,5.83943
3.99997,4.20837,0.280443,5.8195
4.21997,4.63432,0.302472,5.79747
4.41997,5.00916,0.322461,5.77749
4.63997,5.33288,0.34443,5.75552
4.85997,5.75883,0.366459,5.73349
4.87997,5.80994,0.3685,5.73145
5.05997,6.06551,0.386387,5.71356
5.27997,6.47442,0.408416,5.69153
5.47997,6.84926,0.428585,5.67136
5.69997,7.22409,0.450434,5.64951
5.91997,7.61596,0.472403,5.62754
6.13997,8.02488,0.494372,5.60557
6.35997,8.36563,0.516341,5.58361
6.55997,8.79158,0.53651,5.56344
6.77997,9.18346,0.558479,5.54147
6.89997,9.43903,0.570364,5.52958
6.97997,9.55829,0.578467,5.52148
7.19997,10.0524,0.600496,5.49945
7.40247,10.3932,0.620665,5.47928
7.61997,10.785,0.642394,5.45755
7.83997,11.1939,0.664423,5.43552
8.03997,11.5006,0.684471,5.41548
8.27997,12.0118,0.708421,5.39153
8.47997,12.4377,0.72847,5.37148
8.69997,12.8466,0.750499,5.34945
8.89997,13.2044,0.770427,5.32952
8.91997,13.2555,0.772408,5.32754
9.13997,13.6815,0.794317,5.30563
9.35997,14.1415,0.816466,5.28348
9.55997,14.4993,0.836335,5.26361
9.77997,14.9934,0.858484,5.24146
9.97997,15.4193,0.878352,5.22159
10.22,15.8794,0.902482,5.19746
10.42,16.3053,0.92241,5.17754
10.64,16.7824,0.9445,5.15545
10.86,17.2254,0.966469,5.13348
10.9,17.2935,0.970491,5.12946
11.06,17.6854,0.986397,5.11355
11.28,18.1454,1.00837,5.09158
11.48,18.5884,1.02841,5.07153
11.7,19.0144,1.05056,5.04938
11.92,19.4573,1.07241,5.02753
12.14,20.0026,1.09444,5.0055
12.36,20.4796,1.11641,4.98354
12.56,20.9396,1.13646,4.96349
12.78,21.3997,1.15843,4.94152
12.92,21.7064,1.17235,4.92759
12.98,21.8938,1.17842,4.92153
13.2,22.4901,1.20051,4.89944
13.42,22.9331,1.22236,4.87759
13.64,23.4272,1.24444,4.8555
13.86,23.9383,1.26635,4.83359
14.06,24.4324,1.2864,4.81354
14.28,25.0117,1.30843,4.79152
14.48,25.4888,1.32848,4.77147
14.72,26.1021,1.35243,4.74752
14.92,26.6133,1.37248,4.72747
15.14,27.0563,1.39439,4.70556
15.36,27.6185,1.41648,4.68347
15.56,28.1637,1.43646,4.66348
15.8,28.726,1.46041,4.63953
16,29.2371,1.4804,4.61954
16.22,29.8505,1.50243,4.59751
16.42,30.3616,1.52254,4.57741
16.64,30.975,1.54445,4.5555
16.86,31.5713,1.56642,4.53353
16.92,31.7417,1.57248,4.52747
17.06,32.1677,1.58647,4.51348
17.28,32.6788,1.6085,4.49145
17.48,33.1899,1.62848,4.47146
17.7,33.8203,1.65045,4.44949
17.92,34.4337,1.67248,4.42746
18.14,35.013,1.69445,4.40549
18.36,35.6604,1.71636,4.38359
18.56,36.2056,1.73653,4.36342
18.78,36.802,1.75844,4.34151
