"Unterseriennummer",0,""
"Probennummer",10," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0199414,-0.0340759,5.425e-006,6.31387
0.0799414,-0.0170379,5.425e-006,6.31387
0.0999414,-0.0340759,5.425e-006,6.31387
0.299941,-0.0340759,5.425e-006,6.31387
0.499941,-0.0681518,-5.46e-005,6.31393
0.719941,-0.0851898,-5.46e-005,6.31393
0.919941,-0.0851898,-5.46e-005,6.31393
1.13994,-0.136304,-5.46e-005,6.31393
1.35994,-0.0681518,0.0113502,6.30252
1.57994,0.153342,0.0333793,6.2805
1.79994,0.238531,0.0553485,6.25853
1.99994,0.408911,0.0753368,6.23854
2.21994,0.647442,0.097426,6.21645
2.41994,0.868936,0.117354,6.19652
2.63994,1.14154,0.139323,6.17455
2.85994,1.38007,0.161473,6.1524
2.93994,1.49934,0.169396,6.14448
3.07994,1.72083,0.183382,6.13049
3.29994,2.01048,0.205351,6.10852
3.51994,2.30012,0.22738,6.08649
3.73994,2.57273,0.249409,6.06447
3.95994,3.01572,0.271378,6.0425
4.17994,3.28832,0.293408,6.02047
4.37994,3.57797,0.313336,6.00054
4.59994,3.85058,0.335425,5.97845
4.81994,4.22541,0.357334,5.95654
4.93994,4.42987,0.369399,5.94448
5.05994,4.60025,0.381404,5.93247
5.27994,4.92397,0.403373,5.9105
5.49994,5.28176,0.425283,5.88859
5.71994,5.60549,0.447432,5.86644
5.91994,5.87809,0.46736,5.84651
6.13994,6.16774,0.489269,5.82461
6.35994,6.52554,0.511418,5.80246
6.57994,6.84926,0.533388,5.78049
6.79994,7.20705,0.555417,5.75846
6.93994,7.41151,0.569403,5.74447
7.01994,7.54781,0.577266,5.73661
7.23994,7.88857,0.599355,5.71452
7.45994,8.22933,0.621324,5.69255
7.67994,8.51898,0.643413,5.67046
7.87994,8.82566,0.663402,5.65047
8.09994,9.14938,0.685431,5.62844
8.31994,9.50718,0.7074,5.60647
8.55994,9.91609,0.73135,5.58252
8.77994,10.2568,0.753439,5.56044
8.93994,10.5295,0.769406,5.54447
8.99994,10.6146,0.775468,5.53841
9.21994,10.9384,0.797378,5.5165
9.41994,11.1769,0.817426,5.49645
9.63994,11.5688,0.839335,5.47454
9.85994,11.9606,0.861424,5.45245
10.0799,12.3184,0.883333,5.43054
10.2999,12.6762,0.905543,5.40833
10.4999,12.9318,0.925411,5.38846
10.7199,13.3066,0.94738,5.36649
10.9199,13.6815,0.967428,5.34645
10.9399,13.7156,0.969409,5.34447
11.1399,14.0563,0.989338,5.32454
11.3599,14.3971,1.01131,5.30257
11.5799,14.7208,1.0334,5.28048
11.7999,15.0956,1.05531,5.25857
11.9999,15.4534,1.07547,5.2384
12.2199,15.8112,1.09738,5.21649
12.4199,16.152,1.11749,5.19638
12.6399,16.5098,1.13934,5.17454
12.8599,16.9016,1.16137,5.15251
12.9599,17.1061,1.17133,5.14254
13.0799,17.2935,1.1834,5.13048
13.2999,17.6513,1.20543,5.10845
13.4999,17.941,1.2253,5.08858
13.7199,18.384,1.24732,5.06655
13.9399,18.7758,1.26941,5.04446
14.1599,19.2358,1.29132,5.02255
14.3799,19.5425,1.31347,5.0004
14.5999,19.9855,1.33544,4.97843
14.8199,20.3774,1.35741,4.95646
14.9599,20.667,1.3714,4.94248
15.0599,20.7863,1.38142,4.93245
15.2799,21.1782,1.40339,4.91049
15.4999,21.6382,1.42536,4.88852
15.7199,22.0471,1.44745,4.86643
15.9199,22.3708,1.46738,4.8465
16.1599,22.7457,1.49133,4.82255
16.3799,23.1887,1.51336,4.80052
16.5999,23.6146,1.53538,4.77849
16.8199,24.0235,1.55741,4.75646
16.9799,24.2961,1.5735,4.74037
17.0399,24.4495,1.57938,4.73449
17.2599,24.7902,1.60135,4.71252
17.4599,25.1991,1.6214,4.69247
17.6999,25.6251,1.64535,4.66852
17.9199,26.1021,1.66738,4.6465
18.1399,26.494,1.68941,4.62447
18.3599,26.92,1.71144,4.60244
18.5799,27.3289,1.73329,4.58059
