"Unterseriennummer",0,""
"Probennummer",8," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0200586,-0.017038,-2.01055e-006,6.67792
0.0800586,-0.017038,-2.01055e-006,6.67792
0.100059,-0.017038,-2.01055e-006,6.67792
0.222559,-0.0851898,-2.01055e-006,6.67792
0.440059,2.41323e-009,0.000118039,6.6778
0.660059,-0.0851898,5.80145e-005,6.67786
0.860059,-0.017038,-2.01055e-006,6.67792
1.08006,-0.0851898,-2.01055e-006,6.67792
1.30006,-0.102228,0.00948194,6.66844
1.52006,-0.0340759,0.0314511,6.64647
1.74006,-0.017038,0.0536003,6.62432
1.96006,-0.017038,0.0754494,6.60247
2.18006,0.0681518,0.0973585,6.58056
2.38006,0.102228,0.117467,6.56045
2.42006,0.119266,0.121429,6.55649
2.60006,0.119266,0.139496,6.53842
2.80006,0.187417,0.159424,6.51849
3.02006,0.272607,0.181454,6.49647
3.24006,0.340759,0.203483,6.47444
3.46006,0.494101,0.225452,6.45247
3.68006,0.613366,0.247421,6.4305
3.88006,0.74967,0.267469,6.41045
4.10006,0.971163,0.289499,6.38842
4.30006,1.19266,0.309367,6.36855
4.42006,1.36304,0.321432,6.35649
4.52006,1.44823,0.331456,6.34646
4.74006,1.72083,0.353545,6.32437
4.96006,2.01048,0.375454,6.30246
5.18006,2.3342,0.397424,6.2805
5.40006,2.55569,0.419333,6.25859
5.62006,2.87941,0.441362,6.23656
5.82006,3.11795,0.46141,6.21651
6.04006,3.39055,0.483379,6.19454
6.24006,3.73131,0.503488,6.17443
6.42006,3.98688,0.521495,6.15642
6.46006,4.05503,0.525397,6.15252
6.70006,4.37875,0.549467,6.12845
6.90006,4.61729,0.569455,6.10846
7.12006,4.94101,0.591364,6.08655
7.32006,5.24769,0.611473,6.06645
7.54006,5.5203,0.633502,6.04442
7.74006,5.86106,0.65349,6.02443
7.96006,6.1507,0.675459,6.00246
8.18006,6.5085,0.697368,5.98055
8.38006,6.76407,0.717417,5.9605
8.44006,6.86629,0.723419,5.9545
8.60006,7.12186,0.739446,5.93847
8.80006,7.42855,0.759374,5.91854
9.02006,7.68412,0.781403,5.89652
9.24006,7.97376,0.803493,5.87443
9.46006,8.31452,0.825402,5.85252
9.68006,8.67232,0.847491,5.83043
9.88006,8.96196,0.867419,5.8105
10.1001,9.23457,0.889388,5.78853
10.3001,9.57533,0.909497,5.76842
10.4401,9.74571,0.923423,5.7545
10.5201,9.91609,0.931406,5.74651
10.7401,10.2057,0.953435,5.72448
10.9601,10.5295,0.975404,5.70251
11.1801,10.8702,0.997493,5.68043
11.3801,11.1599,1.01748,5.66044
11.6001,11.5517,1.03939,5.63853
11.8001,11.8584,1.05944,5.61848
12.0401,12.2332,1.08345,5.59447
12.2401,12.574,1.10338,5.57454
12.4601,12.8637,1.12541,5.55251
12.6801,13.2215,1.14738,5.53054
12.8801,13.5622,1.16742,5.51049
13.1001,13.9882,1.18939,5.48853
13.3001,14.2948,1.20938,5.46854
13.5201,14.5674,1.23147,5.44645
13.7401,14.9593,1.25344,5.42448
13.9601,15.3171,1.27547,5.40245
14.1801,15.6749,1.2975,5.38042
14.3801,16.0157,1.31737,5.36055
14.4601,16.1349,1.32547,5.35245
14.6001,16.3905,1.33952,5.3384
14.8001,16.7483,1.35938,5.31854
15.0401,17.1061,1.38345,5.29446
15.2401,17.4639,1.40344,5.27448
15.4601,17.8558,1.42547,5.25245
15.6801,18.2306,1.44732,5.2306
15.8801,18.5373,1.46743,5.21049
16.1001,18.9632,1.4894,5.18852
16.3001,19.3551,1.50951,5.16841
16.4601,19.5596,1.52553,5.15239
16.5201,19.6788,1.53142,5.1465
16.7401,20.1218,1.55351,5.12441
16.9601,20.4285,1.57535,5.10257
17.1801,20.8715,1.5975,5.08042
17.3801,21.2634,1.61749,5.06043
17.6001,21.6212,1.6394,5.03852
17.8001,22.0471,1.65939,5.01853
18.0226,22.456,1.6816,4.99632
18.2401,22.8309,1.70351,4.97441
