"Unterseriennummer",0,""
"Probennummer",4," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0200488,0.017038,-1.19348e-005,6.10792
0.0800488,-0.0340759,-1.19348e-005,6.10792
0.100049,-0.0511139,-1.19348e-005,6.10792
0.140049,-0.0340759,-1.19348e-005,6.10792
0.360049,-0.0851898,-1.19348e-005,6.10792
0.560049,-0.0170379,-1.19348e-005,6.10792
0.780049,-0.0681518,4.80902e-005,6.10786
1.00005,-0.0681518,4.80902e-005,6.10786
1.22005,-0.0851898,0.000948465,6.10696
1.44005,0.0681518,0.0224974,6.08541
1.64005,0.289645,0.0424257,6.06549
1.86005,0.477063,0.0644549,6.04346
2.06005,0.732632,0.0844432,6.02347
2.28005,1.09043,0.106352,6.00156
2.50005,1.41415,0.128382,5.97953
2.74005,1.89121,0.152452,5.95546
2.92005,2.09567,0.170459,5.93745
2.96005,2.18086,0.174421,5.93349
3.16005,2.48754,0.194409,5.9135
3.38005,2.86238,0.216378,5.89153
3.58005,3.13498,0.236367,5.87155
3.80005,3.4587,0.258396,5.84952
4.00005,3.76539,0.278324,5.82959
4.24005,4.07207,0.302394,5.80552
4.46005,4.46394,0.324483,5.78343
4.66005,4.73655,0.344532,5.76338
4.88005,5.12842,0.366441,5.74147
4.94005,5.26473,0.372443,5.73547
5.08005,5.43511,0.386429,5.72148
5.30005,5.75883,0.408398,5.69951
5.50005,6.06551,0.428447,5.67947
5.72005,6.42331,0.450416,5.6575
5.94005,6.76407,0.472445,5.63547
6.14005,7.17298,0.492433,5.61548
6.36005,7.4967,0.514342,5.59357
6.58005,7.88857,0.536371,5.57154
6.80005,8.21229,0.558401,5.54951
6.94005,8.46786,0.572446,5.53547
7.00005,8.55305,0.578329,5.52958
7.22005,8.91085,0.600418,5.50749
7.44005,9.28568,0.622447,5.48546
7.64005,9.62644,0.642496,5.46542
7.86005,10.0524,0.664525,5.44339
8.06005,10.4272,0.684453,5.42346
8.28005,10.8191,0.706422,5.40149
8.50005,11.1939,0.728391,5.37952
8.72005,11.6369,0.750481,5.35743
8.96005,12.0458,0.774431,5.33348
9.16005,12.4207,0.794479,5.31343
9.38005,12.8125,0.816388,5.29152
9.58005,13.2215,0.836376,5.27154
9.80005,13.5963,0.858406,5.24951
10,13.9711,0.878394,5.22952
10.22,14.4141,0.900423,5.20749
10.44,14.8571,0.922392,5.18552
10.64,15.249,0.942441,5.16547
10.86,15.692,0.96441,5.1435
10.96,15.9134,0.974434,5.13348
11.06,16.0668,0.984458,5.12345
11.28,16.4927,1.00637,5.10154
11.5,16.9528,1.0284,5.07952
11.72,17.4128,1.05049,5.05743
11.96,17.9239,1.07444,5.03348
12.16,18.3669,1.09448,5.01343
12.38,18.8099,1.11633,4.99158
12.58,19.2358,1.13638,4.97153
12.8,19.747,1.15829,4.94962
12.98,20.1389,1.17636,4.93155
13,20.207,1.17834,4.92957
13.22,20.7352,1.20037,4.90754
13.44,21.1782,1.22252,4.88539
13.64,21.6382,1.24251,4.86541
13.86,22.1323,1.26435,4.84356
14.06,22.5923,1.28452,4.82339
14.28,23.1546,1.30637,4.80154
14.52,23.6487,1.33038,4.77753
14.74,24.245,1.35241,4.7555
14.96,24.6539,1.37438,4.73353
14.98,24.705,1.37636,4.73155
15.16,25.148,1.39443,4.71348
15.38,25.6932,1.41646,4.69145
15.58,26.1533,1.43633,4.67159
15.8,26.7325,1.45842,4.6495
16,27.2437,1.47852,4.62939
16.22,27.84,1.50043,4.60748
16.44,28.3852,1.5224,4.58551
16.64,28.9134,1.54239,4.56552
16.86,29.4586,1.56442,4.54349
16.98,29.7312,1.57648,4.53143
17.06,29.9527,1.58441,4.5235
17.28,30.532,1.60638,4.50153
17.5,31.1283,1.62841,4.47951
17.72,31.7247,1.65038,4.45754
17.94,32.304,1.6724,4.43551
18.14,32.9003,1.69251,4.4154
18.36,33.4966,1.71442,4.39349
18.56,33.9907,1.73447,4.37344
18.78,34.553,1.75644,4.35147
