"Unterseriennummer",0,""
"Probennummer",14," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0201758,-0.0511139,-9.18008e-006,6.18788
0.0801758,-0.0511139,-9.18008e-006,6.18788
0.100176,-0.0511139,-9.18008e-006,6.18788
0.160176,-0.0681518,-9.18008e-006,6.18788
0.380176,-0.0681518,-9.18008e-006,6.18788
0.580176,-0.0681518,-6.92051e-005,6.18794
0.782676,-0.0511139,-6.92051e-005,6.18794
1.00018,-0.0511139,-6.92051e-005,6.18794
1.20018,-0.0681518,0.000771145,6.1871
1.42018,-0.0681518,0.0223801,6.16549
1.62018,-0.0340759,0.0423685,6.1455
1.68018,-4.39354e-009,0.048371,6.1395
1.84018,0.0511139,0.0642776,6.12359
2.06018,0.0851898,0.0864268,6.10144
2.28018,0.0511139,0.108336,6.07953
2.50018,0.187417,0.130365,6.0575
2.70018,0.204455,0.150353,6.03751
2.92018,0.238531,0.172383,6.01549
3.12018,0.408911,0.192371,5.9955
3.34018,0.494101,0.2144,5.97347
3.56018,0.545214,0.236429,5.95144
3.68018,0.630404,0.248374,5.93949
3.78018,0.732632,0.258338,5.92953
4.00018,0.885974,0.280308,5.90756
4.20018,1.00524,0.300356,5.88751
4.42018,1.20969,0.322325,5.86554
4.62018,1.43119,0.342433,5.84543
4.84018,1.58453,0.364343,5.82353
5.06018,1.82306,0.386372,5.8015
5.30018,2.07863,0.410382,5.77749
5.52018,2.28309,0.432351,5.75552
5.70018,2.55569,0.450418,5.73745
5.74018,2.58977,0.45438,5.73349
5.96018,2.87941,0.476349,5.71152
6.16018,3.08387,0.496338,5.69153
6.38018,3.37351,0.518367,5.6695
6.58018,3.6802,0.538475,5.64939
6.80018,4.00392,0.560384,5.62748
7.02018,4.3106,0.582353,5.60551
7.24018,4.65136,0.604383,5.58349
7.46018,4.92397,0.626412,5.56146
7.66018,5.24769,0.6464,5.54147
7.72018,5.28176,0.652403,5.53547
7.88018,5.5203,0.668429,5.51944
8.08018,5.7929,0.688418,5.49945
8.30018,6.13366,0.710387,5.47748
8.52018,6.45738,0.732356,5.45551
8.74018,6.81518,0.754325,5.43354
8.96018,7.08779,0.776354,5.41151
9.16018,7.37743,0.796342,5.39153
9.38018,7.70115,0.818372,5.3695
9.58018,8.05895,0.83842,5.34945
9.72018,8.24637,0.852406,5.33546
9.80018,8.3486,0.860329,5.32754
10.0202,8.67232,0.882298,5.30557
10.2402,9.06419,0.904447,5.28342
10.4602,9.37087,0.926357,5.26151
10.6602,9.67756,0.946405,5.24146
10.8802,10.0354,0.968254,5.21961
11.0802,10.3591,0.988423,5.19945
11.3002,10.6998,1.01039,5.17748
11.5202,11.0917,1.03242,5.15545
11.7402,11.4325,1.05439,5.13348
11.9602,11.7391,1.07636,5.11151
12.1602,12.0629,1.09647,5.0914
12.3802,12.4036,1.11838,5.06949
12.5802,12.7614,1.13842,5.04944
12.8202,13.1703,1.16231,5.02555
13.0402,13.5452,1.1844,5.00346
13.2402,13.8348,1.20433,4.98354
13.4602,14.2097,1.22636,4.96151
13.6602,14.5674,1.24635,4.94152
13.7602,14.7378,1.25631,4.93155
13.8802,14.9593,1.26832,4.91955
14.0802,15.3682,1.28837,4.8995
14.3002,15.6408,1.3104,4.87747
14.5202,16.0838,1.33249,4.85538
14.7402,16.4075,1.35427,4.83359
14.9602,16.8335,1.37636,4.8115
15.1602,17.1913,1.39635,4.79152
15.3802,17.6513,1.41844,4.76943
15.5802,18.0091,1.43849,4.74938
15.7602,18.384,1.45632,4.73155
15.8202,18.4691,1.46244,4.72543
16.0402,18.8951,1.48429,4.70358
16.2402,19.2699,1.50434,4.68353
16.4602,19.7129,1.52637,4.6615
16.6602,20.0707,1.54635,4.64151
16.8802,20.5137,1.56826,4.6196
17.0802,20.9567,1.58831,4.59956
17.3002,21.3486,1.61034,4.57753
17.5202,21.8256,1.63237,4.5555
17.7402,22.2686,1.65446,4.53341
17.7602,22.3027,1.65632,4.53155
