"Unterseriennummer",0,""
"Probennummer",11," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
30.8399,14.4482,2.01168,4.0843
31.0599,14.363,2.01168,4.0843
31.2799,14.4141,2.01168,4.0843
31.4999,14.3119,2.01168,4.0843
31.7199,14.2608,2.01168,4.0843
31.9199,14.2267,2.01168,4.0843
32.1399,14.1585,2.01168,4.0843
32.3399,14.1074,2.01168,4.0843
32.5599,14.1415,2.01168,4.0843
32.7799,14.0733,2.01168,4.0843
32.9999,14.0733,2.01168,4.0843
33.2199,13.9882,2.01168,4.0843
33.4199,13.9882,2.01168,4.0843
33.6399,13.937,2.01168,4.0843
33.8399,13.8859,2.01168,4.0843
34.0599,13.92,2.01168,4.0843
34.2799,13.8348,2.01168,4.0843
34.4999,13.8348,2.01168,4.0843
34.7199,13.8178,2.01168,4.0843
34.9199,13.7667,2.01168,4.0843
35.1399,13.7837,2.01168,4.0843
35.3399,13.7326,2.01168,4.0843
35.5599,13.6985,2.01168,4.0843
35.7799,13.6815,2.01168,4.0843
35.9999,13.6474,2.01168,4.0843
36.2199,13.6985,2.01168,4.0843
36.4199,13.6304,2.01168,4.0843
36.6399,13.6133,2.01168,4.0843
36.8399,13.5452,2.01168,4.0843
37.0599,13.4941,2.01168,4.0843
37.2799,13.4941,2.01168,4.0843
37.4999,13.46,2.01168,4.0843
37.7199,13.4259,2.01168,4.0843
37.9199,13.46,2.01168,4.0843
38.1399,13.477,2.01168,4.0843
38.3399,13.4259,2.01168,4.0843
38.5599,13.3578,2.01168,4.0843
38.7799,13.3066,2.01168,4.0843
38.9999,13.3237,2.01168,4.0843
39.2199,13.3066,2.01168,4.0843
39.4199,13.2726,2.01168,4.0843
39.6399,13.2215,2.01168,4.0843
39.8399,13.2555,2.01168,4.0843
40.0599,13.2215,2.01168,4.0843
40.2799,13.2215,2.01168,4.0843
40.4999,13.1874,2.01168,4.0843
40.7199,13.1533,2.01168,4.0843
40.9199,13.1192,2.01168,4.0843
41.1399,13.1192,2.01168,4.0843
41.3399,13.0851,2.01168,4.0843
41.5599,13.017,2.01168,4.0843
41.7799,13.0511,2.01168,4.0843
41.9999,12.9829,2.01168,4.0843
42.2199,13.034,2.01168,4.0843
42.4199,12.9829,2.01168,4.0843
42.6399,12.9318,2.01168,4.0843
42.8399,13,2.01168,4.0843
43.0599,12.9488,2.01168,4.0843
43.2799,12.9148,2.01168,4.0843
43.4999,12.9659,2.01168,4.0843
43.7199,12.8637,2.01168,4.0843
43.9199,12.8807,2.01168,4.0843
44.1399,12.8807,2.01168,4.0843
44.3399,12.8466,2.01168,4.0843
44.5599,12.8125,2.01168,4.0843
44.7799,12.8125,2.01168,4.0843
44.9999,12.7614,2.01168,4.0843
45.2199,12.7785,2.01168,4.0843
45.4199,12.7614,2.01168,4.0843
45.6399,12.7785,2.01168,4.0843
45.8399,12.7955,2.01168,4.0843
46.0599,12.7274,2.01168,4.0843
46.2799,12.7785,2.01168,4.0843
46.4999,12.7103,2.01168,4.0843
46.7199,12.7103,2.01168,4.0843
46.9199,12.6933,2.01168,4.0843
47.1399,12.6592,2.01168,4.0843
47.3399,12.6422,2.01168,4.0843
47.5599,12.6251,2.01168,4.0843
47.7799,12.6081,2.01168,4.0843
47.9999,12.6081,2.01168,4.0843
48.2199,12.591,2.01168,4.0843
48.4199,12.591,2.01168,4.0843
48.6399,12.557,2.01168,4.0843
48.8399,12.5399,2.01168,4.0843
49.0599,12.5399,2.01168,4.0843
49.2799,12.5059,2.01168,4.0843
49.4999,12.5059,2.01168,4.0843
49.7199,12.4377,2.01168,4.0843
49.9199,12.4718,2.01168,4.0843
50.1399,12.5059,2.01168,4.0843
50.3399,12.4547,2.01168,4.0843
50.5599,12.4547,2.01168,4.0843
50.7799,12.4377,2.01168,4.0843
50.9999,12.4718,2.01168,4.0843
51.2199,12.4547,2.01168,4.0843
51.4199,12.4547,2.01168,4.0843
51.6399,12.4207,2.01168,4.0843
51.8399,12.4036,2.01168,4.0843
52.0599,12.3866,2.01168,4.0843
52.2799,12.3525,2.01168,4.0843
52.4999,12.3014,2.01168,4.0843
52.7199,12.3014,2.01168,4.0843
