"Unterseriennummer",0,""
"Probennummer",12," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0201953,-0.0340759,1.26961e-005,6.41585
0.0801953,-6.74441e-009,-4.73289e-005,6.41591
0.100195,-6.74441e-009,-4.73289e-005,6.41591
0.320195,-0.0511139,-4.73289e-005,6.41591
0.540195,-0.0340759,-0.000107354,6.41597
0.760195,-0.0511139,-0.000107354,6.41597
0.980195,-0.0851898,-0.000107354,6.41597
1.2002,-0.0511139,-0.000107354,6.41597
1.4202,-0.0511139,0.0192807,6.39658
1.6402,-0.0681518,0.04149,6.37437
1.8402,-0.017038,0.0613582,6.35451
1.8602,-6.74441e-009,0.0633391,6.35253
2.0802,-0.0340759,0.0853682,6.3305
2.3002,0.0170379,0.107337,6.30853
2.5202,0.0170379,0.129307,6.28656
2.7202,-6.74441e-009,0.149295,6.26657
2.9402,0.0340759,0.171384,6.24448
3.1402,0.0851898,0.191252,6.22461
3.3602,0.0851898,0.213282,6.20258
3.5802,0.0340759,0.235371,6.18049
3.8002,0.0511139,0.2574,6.15846
3.8402,0.102228,0.261362,6.1545
4.0202,0.17038,0.279369,6.1365
4.2202,0.221493,0.299297,6.11657
4.4402,0.255569,0.321327,6.09454
4.6602,0.306683,0.343356,6.07251
4.8802,0.408911,0.365325,6.05054
5.1002,0.460025,0.387414,6.02845
5.3202,0.545214,0.409383,6.00648
5.5402,0.630404,0.431292,5.98457
5.7602,0.698556,0.453321,5.96254
5.8602,0.783746,0.463406,5.95246
5.9802,0.83486,0.475351,5.94051
6.1802,0.868936,0.495279,5.92059
6.4002,1.00524,0.517308,5.89856
6.6002,1.1245,0.537356,5.87851
6.8202,1.32896,0.559386,5.85648
7.0402,1.46526,0.581295,5.83457
7.2602,1.61861,0.603264,5.8126
7.4802,1.82306,0.625353,5.79051
7.6802,2.04455,0.645461,5.7704
7.8802,2.21493,0.66533,5.75053
7.9002,2.23197,0.667311,5.74855
8.10019,2.4705,0.687419,5.72845
8.3202,2.64088,0.709328,5.70654
8.5402,2.93053,0.731417,5.68445
8.7602,3.15202,0.753206,5.66266
8.9802,3.40759,0.775356,5.64051
9.18019,3.6802,0.795404,5.62046
9.3827,3.91873,0.815572,5.60029
9.60019,4.1743,0.837361,5.5785
9.8402,4.48098,0.861371,5.55449
9.9002,4.54913,0.867314,5.54855
10.0602,4.77063,0.883341,5.53252
10.2602,4.97508,0.903329,5.51254
10.4802,5.2988,0.925238,5.49063
10.6802,5.57141,0.945346,5.47052
10.9002,5.86106,0.967376,5.44849
11.1002,6.11662,0.987304,5.42856
11.3202,6.38923,1.00939,5.40647
11.5402,6.66184,1.0313,5.38456
11.7602,6.93445,1.05327,5.36259
11.9002,7.1389,1.06738,5.34849
11.9802,7.22409,1.07536,5.3405
12.1802,7.47966,1.09523,5.32064
12.4002,7.75227,1.11726,5.29861
12.6002,7.97376,1.13737,5.2785
12.8202,8.28045,1.15922,5.25665
13.0602,8.60417,1.18335,5.23252
13.2602,8.91085,1.20321,5.21265
13.4802,9.16642,1.22536,5.1905
13.6802,9.43903,1.24541,5.17045
13.9002,9.72867,1.26744,5.14842
14.1002,10.0183,1.28743,5.12844
14.3202,10.342,1.30928,5.10659
14.5402,10.5976,1.33143,5.08444
14.7602,10.8702,1.35328,5.06259
14.9802,11.1939,1.37531,5.04056
15.1802,11.4836,1.39523,5.02063
15.4002,11.7732,1.41732,4.99854
15.6002,12.0799,1.43737,4.97849
15.8202,12.3525,1.45928,4.95658
15.9202,12.4888,1.4693,4.94656
16.0402,12.6592,1.48137,4.9345
16.2602,12.9829,1.50328,4.91259
16.4802,13.3237,1.52537,4.8905
16.6802,13.5452,1.5453,4.87057
16.9002,13.8859,1.56733,4.84854
17.1002,14.2097,1.58737,4.82849
17.3202,14.5163,1.6094,4.80646
17.5402,14.8401,1.63131,4.78455
17.7602,15.1808,1.65322,4.76264
17.9202,15.4364,1.66943,4.74644
17.9802,15.5216,1.67543,4.74043
