"Unterseriennummer",0,""
"Probennummer",16," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0199609,-0.0851898,4.665e-005,6.14586
0.0799609,-0.0681518,4.665e-005,6.14586
0.0999609,-0.0851898,4.665e-005,6.14586
0.299961,-0.0851898,4.665e-005,6.14586
0.519961,-0.0851898,4.665e-005,6.14586
0.739961,-0.0340759,-1.3375e-005,6.14592
0.959961,-0.102228,-1.3375e-005,6.14592
1.17996,-0.0851898,0.00028675,6.14562
1.23996,-0.0511139,0.0054489,6.14046
1.39996,0.0170379,0.0214156,6.12449
1.61996,0.17038,0.0436248,6.10228
1.83996,0.306683,0.0654139,6.08049
2.05996,0.494101,0.0874431,6.05846
2.27996,0.66448,0.109412,6.03649
2.47996,0.885974,0.129461,6.01645
2.69996,1.14154,0.15137,5.99454
2.89996,1.41415,0.171358,5.97455
3.11996,1.68676,0.193447,5.95246
3.23996,1.85714,0.205452,5.94045
3.33996,2.01048,0.215416,5.93049
3.55996,2.40235,0.237385,5.90852
3.77996,2.76015,0.259355,5.88655
3.97996,3.06683,0.279403,5.8665
4.19996,3.44167,0.301432,5.84447
4.39996,3.8165,0.32136,5.82455
4.61996,4.14022,0.34345,5.80246
4.83996,4.49802,0.365419,5.78049
5.05996,4.90693,0.387508,5.7584
5.25996,5.1625,0.407376,5.73853
5.27996,5.19658,0.409297,5.73661
5.47996,5.5203,0.429405,5.7165
5.69996,5.92921,0.451315,5.69459
5.89996,6.21885,0.471423,5.67448
6.11996,6.59369,0.493512,5.65239
6.33996,6.93445,0.515361,5.63055
6.55996,7.34336,0.53739,5.60852
6.77996,7.65004,0.55936,5.58655
6.97996,7.95672,0.579408,5.5665
7.19996,8.31452,0.601377,5.54453
7.25996,8.50194,0.6075,5.53841
7.39996,8.65528,0.621425,5.52448
7.61996,9.03011,0.643455,5.50245
7.83996,9.3368,0.665424,5.48048
8.05996,9.67756,0.687393,5.45851
8.27996,10.0524,0.709362,5.43654
8.47996,10.3591,0.72947,5.41644
8.69996,10.7509,0.75138,5.39453
8.89996,11.0747,0.771428,5.37448
9.11996,11.4836,0.793457,5.35245
9.25996,11.671,0.807503,5.3384
9.33996,11.7732,0.815366,5.33054
9.55996,12.1481,0.837395,5.30851
9.77996,12.5059,0.859365,5.28654
9.97996,12.8466,0.879413,5.26649
10.2,13.1874,0.901442,5.24446
10.4,13.4941,0.92137,5.22454
10.62,13.8859,0.94346,5.20245
10.84,14.2608,0.965489,5.18042
11.06,14.6015,0.987518,5.15839
11.28,14.9593,1.00937,5.13654
11.48,15.3171,1.02948,5.11643
11.7,15.726,1.05132,5.09458
11.9,16.0668,1.07143,5.07447
12.12,16.3564,1.0934,5.0525
12.34,16.8165,1.11537,5.03054
12.56,17.2594,1.13746,5.00845
12.78,17.5661,1.15931,4.9866
12.98,18.0091,1.17942,4.96649
13.2,18.401,1.20139,4.94452
13.28,18.5203,1.20943,4.93648
13.4,18.7077,1.22132,4.92459
13.62,19.1507,1.24346,4.90244
13.84,19.5766,1.26543,4.88047
14.06,19.9514,1.28752,4.85838
14.28,20.4115,1.30937,4.83653
14.48,20.7863,1.32942,4.81649
14.7,21.1952,1.35139,4.79452
14.9,21.57,1.37144,4.77447
15.12,21.996,1.39341,4.7525
15.28,22.2686,1.40943,4.73647
15.34,22.3879,1.41532,4.73059
15.56,22.8138,1.43741,4.7085
15.78,23.2398,1.45949,4.68641
15.98,23.6146,1.47942,4.66648
16.2,24.0576,1.50139,4.64451
16.4,24.5176,1.52144,4.62447
16.62,24.9095,1.54347,4.60244
16.86,25.3695,1.56748,4.57843
17.08,25.8466,1.58933,4.55658
17.28,26.2384,1.60944,4.53647
17.3,26.2725,1.61148,4.53443
17.52,26.7496,1.63339,4.51252
17.74,27.2266,1.65542,4.49049
17.94,27.6356,1.67534,4.47056
18.16,28.0615,1.69755,4.44835
18.36,28.4704,1.71742,4.42848
18.58,28.9645,1.73933,4.40658
18.8,29.4586,1.76142,4.38449
