"Unterseriennummer",0,""
"Probennummer",9," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0201074,-0.017038,1.08258e-005,6.4919
0.0801074,-8.69875e-010,1.08258e-005,6.4919
0.100107,-8.69875e-010,1.08258e-005,6.4919
0.200107,-0.0340759,1.08258e-005,6.4919
0.420107,-0.0340759,-4.91992e-005,6.49196
0.620107,-0.0851898,-4.91992e-005,6.49196
0.840107,-0.102228,-4.91992e-005,6.49196
1.06011,-0.0681518,-4.91992e-005,6.49196
1.28011,-0.0681518,0.00745393,6.48446
1.50011,-0.017038,0.0293631,6.46255
1.70011,0.0681518,0.0494714,6.44244
1.92011,0.136304,0.0713805,6.42053
2.12011,0.323721,0.0914889,6.40043
2.34011,0.494101,0.113398,6.37852
2.54011,0.698556,0.133446,6.35847
2.64011,0.783746,0.143411,6.3485
2.76011,0.937087,0.155356,6.33656
2.98011,1.19266,0.177325,6.31459
3.18011,1.44823,0.197373,6.29454
3.40011,1.77195,0.219462,6.27245
3.60011,2.06159,0.239391,6.25252
3.82011,2.30012,0.26142,6.23049
4.04011,2.58977,0.283389,6.20853
4.26011,2.86238,0.305358,6.18656
4.48011,3.16906,0.327327,6.16459
4.64011,3.42463,0.343414,6.1485
4.68011,3.50982,0.347376,6.14454
4.90011,3.76539,0.369285,6.12263
5.10011,4.05503,0.389453,6.10246
5.32011,4.34468,0.411422,6.08049
5.54011,4.60025,0.433391,6.05852
5.76011,4.90693,0.45536,6.03655
5.98011,5.26473,0.47739,6.01452
6.18011,5.48622,0.497318,5.9946
6.40011,5.80994,0.519407,5.97251
6.60011,6.06551,0.539395,5.95252
6.64011,6.1507,0.543417,5.9485
6.84011,6.38923,0.563345,5.92857
7.04011,6.69592,0.583334,5.90858
7.26011,7.05371,0.605303,5.88661
7.48011,7.3604,0.627392,5.86452
7.68011,7.61596,0.64738,5.84453
7.90011,7.92265,0.66941,5.8225
8.10011,8.21229,0.689398,5.80252
8.32011,8.53601,0.711367,5.78055
8.54011,8.91085,0.733456,5.75846
8.66011,9.08123,0.745401,5.74651
8.76011,9.20049,0.755245,5.73667
8.98011,9.52422,0.777395,5.71452
9.18011,9.8309,0.797323,5.69459
9.40011,10.1376,0.819352,5.67256
9.60011,10.4443,0.8394,5.65251
9.82011,10.8361,0.86137,5.63055
10.0401,11.1428,0.883339,5.60858
10.2601,11.4836,0.905368,5.58655
10.4801,11.8243,0.927397,5.56452
10.6601,12.0969,0.945405,5.54651
10.6801,12.114,0.947385,5.54453
10.9001,12.4207,0.969355,5.52256
11.1001,12.7614,0.989403,5.50251
11.3201,13.1022,1.01137,5.48054
11.5401,13.4941,1.03334,5.45857
11.7601,13.8007,1.05531,5.4366
11.9801,14.1756,1.07728,5.41464
12.1801,14.5163,1.09745,5.39447
12.4001,14.8741,1.11942,5.3725
12.6001,15.1979,1.13947,5.35245
12.6601,15.3512,1.14541,5.34651
12.8201,15.5557,1.16131,5.3306
13.0401,15.9134,1.18334,5.30857
13.2601,16.3564,1.20537,5.28654
13.4801,16.7142,1.22752,5.26439
13.6801,17.0209,1.24739,5.24452
13.9001,17.3617,1.26936,5.22256
14.1001,17.7365,1.28941,5.20251
14.3201,18.0602,1.31132,5.1806
14.5401,18.4351,1.33341,5.15851
14.6601,18.6395,1.34547,5.14644
14.7601,18.8269,1.35532,5.1366
14.9801,19.2358,1.3774,5.11451
15.1801,19.5766,1.39727,5.09464
15.4001,20.0026,1.41936,5.07255
15.6201,20.3774,1.44133,5.05058
15.8401,20.7352,1.46342,5.02849
16.0401,21.1271,1.48347,5.00845
16.2601,21.536,1.50532,4.9866
16.4801,21.9108,1.52741,4.96451
16.6801,22.2516,1.54734,4.94458
16.9001,22.6775,1.56936,4.92255
17.1001,23.0183,1.58935,4.90256
17.3201,23.4783,1.61138,4.88053
17.5401,23.8191,1.63341,4.8585
17.7426,24.1939,1.65358,4.83834
17.9601,24.6028,1.67543,4.81649
18.1601,24.9947,1.6953,4.79662
