"Unterseriennummer",0,""
"Probennummer",7," "
"Prüfzeit","Standardkraft","Dehnung","LE-Kanal"
"s","N","mm","mm"
0.0200098,-0.0511139,0.00011682,5.80186
0.0800098,-0.102228,0.000176845,5.8018
0.10001,-0.102228,0.000176845,5.8018
0.16001,-0.0340759,0.00011682,5.80186
0.38001,-0.0511139,5.67945e-005,5.80192
0.58001,-0.0851898,-3.23047e-006,5.80198
0.80001,-0.119266,-3.23047e-006,5.80198
1.00001,-0.119266,-3.23047e-006,5.80198
1.24001,-0.119266,0.00359827,5.79837
1.44001,0.0851898,0.0234065,5.77857
1.66001,0.255569,0.0454357,5.75654
1.72001,0.272607,0.0513782,5.75059
1.88001,0.562252,0.0673448,5.73463
2.08001,0.868936,0.0875132,5.71446
2.30001,1.24377,0.109302,5.69267
2.50001,1.58453,0.129471,5.6725
2.72001,1.92529,0.1515,5.65047
2.96001,2.35124,0.17545,5.62652
3.18001,2.77719,0.197479,5.60449
3.40001,3.11795,0.219388,5.58259
3.60001,3.56093,0.239497,5.56248
3.72001,3.73131,0.251381,5.55059
3.82001,3.90169,0.261466,5.54051
4.02001,4.27653,0.281394,5.52058
4.24001,4.68544,0.303423,5.49855
4.44001,5.0262,0.323471,5.4785
4.66001,5.41807,0.345381,5.45659
4.88001,5.84402,0.36747,5.4345
5.08001,6.16774,0.387518,5.41445
5.30001,6.55961,0.409427,5.39255
5.50001,6.93445,0.429476,5.3725
5.72001,7.30928,0.451505,5.35047
5.94001,7.71819,0.473414,5.32856
6.16001,8.04191,0.495323,5.30665
6.38001,8.50194,0.517532,5.28444
6.58001,8.89381,0.537461,5.26451
6.80001,9.21753,0.55949,5.24248
7.00001,9.57533,0.579478,5.22249
7.22001,9.98424,0.601447,5.20053
7.44001,10.4102,0.623476,5.1785
7.66001,10.7509,0.645506,5.15647
7.74001,10.9554,0.653489,5.14848
7.88001,11.1258,0.667415,5.13456
8.08001,11.5688,0.687463,5.11451
8.30001,11.9777,0.709372,5.0926
8.50001,12.3184,0.729421,5.07255
8.72001,12.7444,0.75151,5.05046
8.94001,13.1533,0.773359,5.02861
9.16001,13.5452,0.795388,5.00659
9.38001,13.9711,0.817417,4.98456
9.58001,14.2948,0.837466,4.96451
9.76001,14.7378,0.855473,4.9465
9.80001,14.8571,0.859495,4.94248
10,15.1808,0.879363,4.92261
10.22,15.726,0.901452,4.90052
10.44,16.152,0.923361,4.87861
10.66,16.612,0.945391,4.85658
10.88,17.1061,0.96742,4.83455
11.08,17.498,0.987408,4.81457
11.3,17.9921,1.0095,4.79248
11.5,18.4521,1.02937,4.77261
11.72,18.8951,1.05151,4.75046
11.78,19.0484,1.0574,4.74458
11.94,19.4573,1.07348,4.72849
12.16,19.9685,1.09539,4.70658
12.38,20.5478,1.11742,4.68455
12.58,21.0248,1.13741,4.66456
12.8,21.5019,1.15944,4.64253
13,22.0471,1.17943,4.62255
13.24,22.6775,1.20356,4.59842
13.44,23.1546,1.22343,4.57855
13.66,23.7509,1.24546,4.55652
13.78,24.0576,1.25752,4.54445
13.88,24.3472,1.26742,4.53455
14.08,24.9095,1.28741,4.51456
14.32,25.5569,1.31142,4.49055
14.52,26.1873,1.33141,4.47056
14.74,26.8859,1.3535,4.44847
14.94,27.38,1.37343,4.42854
15.16,28.1297,1.3954,4.40658
15.4,28.9134,1.41941,4.38257
15.6,29.4586,1.4394,4.36258
15.8,30.1913,1.45938,4.34259
15.82,30.2424,1.46143,4.34055
16.02,30.9409,1.48141,4.32056
16.24,31.6565,1.50344,4.29853
16.44,32.338,1.52343,4.27854
16.68,33.207,1.54738,4.25459
16.9,33.9566,1.56947,4.2325
17.1,34.6722,1.5894,4.21257
17.32,35.5071,1.61155,4.19043
17.52,36.2908,1.63142,4.17056
17.74,37.1598,1.65351,4.14847
17.8,37.3813,1.65945,4.14253
17.94,37.8754,1.67343,4.12854
18.16,38.6591,1.69534,4.10663
18.38,39.6303,1.71743,4.08454
18.58,40.4651,1.73748,4.06449
