Metric,Group1,Group2,Test,Statistic,P_raw,P_adj,Significant,Stats Mode,Stats Decision,Global Test,Global P,Alpha,Decision Reason,Stats Note
Cohesiveness,15%,5%,Tukey HSD,-1.4301060874520948,0.6227461825452584,0.6227461825452584,False,auto,parametric,One-way ANOVA + Tukey HSD,0.355513967661613,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.3555); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Cohesiveness,15%,ctrl,Tukey HSD,-1.284999245164985,0.7051228006389954,0.7051228006389954,False,auto,parametric,One-way ANOVA + Tukey HSD,0.355513967661613,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.3555); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Cohesiveness,15%42%pwd,5%,Tukey HSD,-1.1430597043075856,0.7814934606448529,0.7814934606448529,False,auto,parametric,One-way ANOVA + Tukey HSD,0.355513967661613,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.3555); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Cohesiveness,15%42%pwd,ctrl,Tukey HSD,-1.0164919402051362,0.8427245651663156,0.8427245651663156,False,auto,parametric,One-way ANOVA + Tukey HSD,0.355513967661613,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.3555); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Cohesiveness,5%,ctrl,Tukey HSD,0.05638411097480758,0.9999972992491271,0.9999972992491271,False,auto,parametric,One-way ANOVA + Tukey HSD,0.355513967661613,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.3555); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,10%,15%,Tukey HSD,4.662994416358016,0.004960070416371143,0.004960070416371143,True,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,10%,15%42%pwd,Tukey HSD,1.865197766543197,0.38787397869079876,0.38787397869079876,False,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,10%,5%,Tukey HSD,-0.31426863203173866,0.9975458080837671,0.9975458080837671,False,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,10%,ctrl,Tukey HSD,-0.7906816619041929,0.9280671442971954,0.9280671442971954,False,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,15%,15%42%pwd,Tukey HSD,-2.7977966498148192,0.10092728861695066,0.10092728861695066,False,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,15%,5%,Tukey HSD,-5.299219347017914,0.0018720548742506837,0.0018720548742506837,True,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,15%,ctrl,Tukey HSD,-5.453676078262209,0.0014883423786382632,0.0014883423786382632,True,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,15%42%pwd,5%,Tukey HSD,-2.308248918026199,0.2129019486401802,0.2129019486401802,False,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,15%42%pwd,ctrl,Tukey HSD,-2.6558794284473897,0.12608456585662986,0.12608456585662986,False,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Springiness,5%,ctrl,Tukey HSD,-0.5310056196398383,0.9821222987314483,0.9821222987314483,False,auto,parametric,One-way ANOVA + Tukey HSD,0.0010177633321139343,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.001018); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,10%,15%,Tukey HSD,-0.9029134900006947,0.889944406358051,0.889944406358051,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,10%,15%42%pwd,Tukey HSD,-1.1550140881989097,0.7753253419395828,0.7753253419395828,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,10%,5%,Tukey HSD,-1.8502316015477336,0.39510243491630137,0.39510243491630137,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,10%,ctrl,Tukey HSD,-2.535309562021757,0.15179647012717323,0.15179647012717323,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,15%,15%42%pwd,Tukey HSD,-0.25210059819821506,0.9989610930777801,0.9989610930777801,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,15%,5%,Tukey HSD,-0.8849764788394654,0.8966312596685452,0.8966312596685452,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,15%,ctrl,Tukey HSD,-1.6323960720210624,0.5084318206327597,0.5084318206327597,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,15%42%pwd,5%,Tukey HSD,-0.6154696029941851,0.9695468240226727,0.9695468240226727,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,15%42%pwd,ctrl,Tukey HSD,-1.3802954738228472,0.6512446850084797,0.6512446850084797,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Resilience,5%,ctrl,Tukey HSD,-0.8601283271657848,0.9055269956086949,0.9055269956086949,False,auto,parametric,One-way ANOVA + Tukey HSD,0.19509065323666372,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.1951); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Chewiness,10%,15%,Dunn (BH),9.0,0.1,0.125,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,10%,15%42%pwd,Dunn (BH),6.0,0.7,0.7,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,10%,5%,Dunn (BH),0.0,0.05714285714285714,0.125,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,10%,ctrl,Dunn (BH),0.0,0.1,0.125,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,15%,15%42%pwd,Dunn (BH),0.0,0.1,0.125,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,15%,5%,Dunn (BH),0.0,0.05714285714285714,0.125,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,15%,ctrl,Dunn (BH),0.0,0.1,0.125,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,15%42%pwd,5%,Dunn (BH),0.0,0.05714285714285714,0.125,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,15%42%pwd,ctrl,Dunn (BH),0.0,0.1,0.125,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Chewiness,5%,ctrl,Dunn (BH),2.0,0.22857142857142856,0.25396825396825395,False,auto,nonparametric,Kruskal-Wallis + Dunn (BH),0.00955106405141859,0.05,Shapiro failed for group '5%' (p=0.0272),Decision=nonparametric; Global=Kruskal-Wallis + Dunn (BH) (p=0.009551); Pairwise significant when adjusted p < 0.05. Reason: Shapiro failed for group '5%' (p=0.0272)
Adhesiveness,10%,15%,Tukey HSD,-0.31665794271080705,0.9974726966367691,0.9974726966367691,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Adhesiveness,10%,15%42%pwd,Tukey HSD,-0.703064929908795,0.9515350485168542,0.9515350485168542,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
Adhesiveness,10%,5%,Tukey HSD,1.4902798458495645,0.5883152577238913,0.5883152577238913,False,auto,parametric,One-way ANOVA + Tukey HSD,0.2492254843724177,0.05,Assumptions passed in auto mode,Decision=parametric; Global=One-way ANOVA + Tukey HSD (p=0.2492); Pairwise significant when adjusted p < 0.05. Reason: Assumptions passed in auto mode
